,ra,dec,2D,dist,PS,MPC,PSMPC,AGN,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4564055791382671,-0.07345900837846162,0.05516858296546173,0.003525039195364755,-0.03678376459225559,-0.007462738518910775,-0.07449526224360224,0.11857562718238458,0.09574730674947125,0.09574730674947125,0.18590330075669007,0.05266582937790818,0.15881370501747652,0.08278843073856922,0.01688824384434225,0.06846509516267145
dec,0.4564055791382671,1.0,0.018009166517720727,0.12211612253256918,0.08715355527850102,-0.04706739770406898,0.06972996303607255,-0.02773515917377191,0.16536401568597509,0.16020525810387487,0.16020525810387487,0.20608824877897944,0.050843904575680436,0.1857578319894309,0.19543304211867202,0.09753821192837463,0.16199197510291488
2D,-0.07345900837846162,0.018009166517720727,1.0,0.15800686296551514,-0.08715370469612618,0.020962826513066926,-0.07742604487407778,-0.061200828059135425,0.1427301663071746,0.12139914858026428,0.12139914858026428,0.1004851162176062,0.11944490356701185,0.09867742782218464,0.350156091426043,0.43069491024481454,0.36963920294896335
dist,0.05516858296546173,0.12211612253256918,0.15800686296551514,1.0,0.0054698884066004825,-0.015425449667720085,0.0006996317361478851,-0.060283858369438115,-0.09695500000383013,-0.08578733175884912,-0.08578733175884912,0.1819916505409598,-0.0826820933960273,0.1466095216926144,0.5861282987270531,0.5531261464952009,0.6105647546292605
PS,0.003525039195364755,0.08715355527850102,-0.08715370469612618,0.0054698884066004825,1.0,-0.012661179042941803,0.9555625936056277,0.33552239755205066,0.13271815069119633,0.1626962666701273,0.1626962666701273,0.12612037745348562,-0.041670787906853024,0.06852366399857018,0.34097572195929354,0.34097572195929354,0.34097572195929354
MPC,-0.03678376459225559,-0.04706739770406898,0.020962826513066926,-0.015425449667720085,-0.012661179042941803,1.0,0.28266610133502934,-0.006511515215422475,-0.01919353977397277,-0.01690524605360971,-0.01690524605360971,-0.060939976966851224,-0.052357899955859724,-0.07304945732201057,0.10086443171917275,0.10086443171917275,0.10086443171917275
PSMPC,-0.007462738518910775,0.06972996303607255,-0.07742604487407778,0.0006996317361478851,0.9555625936056277,0.28266610133502934,1.0,0.31994537335101625,0.12165740874463428,0.1510898895497637,0.1510898895497637,0.10302084925097367,-0.055410321828266274,0.04419857600567516,0.3568324296503578,0.3568324296503578,0.3568324296503578
AGN,-0.07449526224360224,-0.02773515917377191,-0.061200828059135425,-0.060283858369438115,0.33552239755205066,-0.006511515215422475,0.31994537335101625,1.0,-0.03336940001570271,-0.02939103076191028,-0.02939103076191028,-0.05334479687579826,0.0018153754731360888,-0.07506896925050788,0.17536033524976738,0.17536033524976738,0.17536033524976738
predet_KN,0.11857562718238458,0.16536401568597509,0.1427301663071746,-0.09695500000383013,0.13271815069119633,-0.01919353977397277,0.12165740874463428,-0.03336940001570271,1.0,0.880777920732158,0.880777920732158,0.3993805638393919,0.43228886607820743,0.3340898374643118,0.2814219415639863,0.27534079516764565,0.22196184346643338
predet_KN-in-SN,0.09574730674947125,0.16020525810387487,0.12139914858026428,-0.08578733175884912,0.1626962666701273,-0.01690524605360971,0.1510898895497637,-0.02939103076191028,0.880777920732158,1.0,1.0,0.3656732120296893,0.42789912514186906,0.3181205132359871,0.2658336593870773,0.274290721721767,0.21734650200152347
predet_super-KN,0.09574730674947125,0.16020525810387487,0.12139914858026428,-0.08578733175884912,0.1626962666701273,-0.01690524605360971,0.1510898895497637,-0.02939103076191028,0.880777920732158,1.0,1.0,0.3656732120296893,0.42789912514186906,0.3181205132359871,0.2658336593870773,0.274290721721767,0.21734650200152347
phot_KN,0.18590330075669007,0.20608824877897944,0.1004851162176062,0.1819916505409598,0.12612037745348562,-0.060939976966851224,0.10302084925097367,-0.05334479687579826,0.3993805638393919,0.3656732120296893,0.3656732120296893,1.0,0.2115784420937632,0.6968802792436283,0.7213324978670305,0.29263671995764884,0.5270914369508998
phot_KN-in-SN,0.05266582937790818,0.050843904575680436,0.11944490356701185,-0.0826820933960273,-0.041670787906853024,-0.052357899955859724,-0.055410321828266274,0.0018153754731360888,0.43228886607820743,0.42789912514186906,0.42789912514186906,0.2115784420937632,1.0,0.5397982511474767,0.13788937086656886,0.5407720360240957,0.3131842817569378
phot_super-KN,0.15881370501747652,0.1857578319894309,0.09867742782218464,0.1466095216926144,0.06852366399857018,-0.07304945732201057,0.04419857600567516,-0.07506896925050788,0.3340898374643118,0.3181205132359871,0.3181205132359871,0.6968802792436283,0.5397982511474767,1.0,0.4874007187512792,0.43223777327440693,0.6555600202879616
KN,0.08278843073856922,0.19543304211867202,0.350156091426043,0.5861282987270531,0.34097572195929354,0.10086443171917275,0.3568324296503578,0.17536033524976738,0.2814219415639863,0.2658336593870773,0.2658336593870773,0.7213324978670305,0.13788937086656886,0.4874007187512792,1.0,0.7262169821026084,0.8692695457535391
KN-in-SN,0.01688824384434225,0.09753821192837463,0.43069491024481454,0.5531261464952009,0.34097572195929354,0.10086443171917275,0.3568324296503578,0.17536033524976738,0.27534079516764565,0.274290721721767,0.274290721721767,0.29263671995764884,0.5407720360240957,0.43223777327440693,0.7262169821026084,1.0,0.8567610116811577
super-KN,0.06846509516267145,0.16199197510291488,0.36963920294896335,0.6105647546292605,0.34097572195929354,0.10086443171917275,0.3568324296503578,0.17536033524976738,0.22196184346643338,0.21734650200152347,0.21734650200152347,0.5270914369508998,0.3131842817569378,0.6555600202879616,0.8692695457535391,0.8567610116811577,1.0
