,ra,dec,distance,predet_KN,predet_KN-in-SN,predet_super-KN,phot_KN,phot_KN-in-SN,phot_super-KN,KN,KN-in-SN,super-KN
ra,1.0,0.4009204546461255,-0.013952857075304671,0.060174139146230037,0.023637515184257652,0.023637515184257652,0.13670520008029308,0.026004825677778887,0.08490652027970619,0.01843833562936117,-0.022457976359711775,-0.0003185528561661245
dec,0.4009204546461255,1.0,-0.09838725715018265,0.1755182025815601,0.12587515684747538,0.12587515684747538,0.19239621039760488,0.18095494643258536,0.22503413803628308,-0.004202340162563528,-0.036850336205430385,-0.015643274877086385
distance,-0.013952857075304671,-0.09838725715018265,1.0,-0.07790256797749512,-0.1041023167993393,-0.1041023167993393,0.17013300262699912,-0.07488437892335292,0.08285244018156299,0.8136653528401825,0.814619114231857,0.8206833216456842
predet_KN,0.060174139146230037,0.1755182025815601,-0.07790256797749512,1.0,0.8398966344670916,0.8398966344670916,0.3914175024078503,0.41816727972548584,0.3214922978963424,0.14672823844257102,0.13251278147467238,0.11718481048319909
predet_KN-in-SN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.3333788997547036,0.38146028660015596,0.29032693946007504,0.13110305649052378,0.1180215015117544,0.10580246664147533
predet_super-KN,0.023637515184257652,0.12587515684747538,-0.1041023167993393,0.8398966344670916,1.0,1.0,0.3333788997547036,0.38146028660015596,0.29032693946007504,0.13110305649052378,0.1180215015117544,0.10580246664147533
phot_KN,0.13670520008029308,0.19239621039760488,0.17013300262699912,0.3914175024078503,0.3333788997547036,0.3333788997547036,1.0,0.19063857555758745,0.649402906858092,0.45122168298958903,0.26423814745096863,0.36081790618856924
phot_KN-in-SN,0.026004825677778887,0.18095494643258536,-0.07488437892335292,0.41816727972548584,0.38146028660015596,0.38146028660015596,0.19063857555758745,1.0,0.5216037716501256,0.018157798791007325,0.19503960408537568,0.10342523609464381
phot_super-KN,0.08490652027970619,0.22503413803628308,0.08285244018156299,0.3214922978963424,0.29032693946007504,0.29032693946007504,0.649402906858092,0.5216037716501256,1.0,0.25171666706812607,0.2348774635431752,0.3397228164037267
KN,0.01843833562936117,-0.004202340162563528,0.8136653528401825,0.14672823844257102,0.13110305649052378,0.13110305649052378,0.45122168298958903,0.018157798791007325,0.25171666706812607,1.0,0.9259985043524256,0.9616048724063663
KN-in-SN,-0.022457976359711775,-0.036850336205430385,0.814619114231857,0.13251278147467238,0.1180215015117544,0.1180215015117544,0.26423814745096863,0.19503960408537568,0.2348774635431752,0.9259985043524256,1.0,0.9620352764085408
super-KN,-0.0003185528561661245,-0.015643274877086385,0.8206833216456842,0.11718481048319909,0.10580246664147533,0.10580246664147533,0.36081790618856924,0.10342523609464381,0.3397228164037267,0.9616048724063663,0.9620352764085408,1.0
